Log file created on 2020-01-16 15:31:57.143428

aug : None
aug_size : 50000
batch_size : 128
dataset : cifar100
device : cuda:0
epochs : 600
learning_rate : 0.1
lr_decay_epochs : [200, 300, 400, 500]
lr_decay_rate : 0.1
model : resnet20
model_name : resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
model_path : ./save/models_t
momentum : 0.9
num_workers : 8
print_freq : 50
save_folder : ./save/models_t/resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
save_freq : 40
tb_freq : 500
trial : 0
weight_decay : 0.0005

Epoch: 108, l_xent: 1.4933, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.76, acc_test: 47.91, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:52:45.534129
Epoch: 109, l_xent: 1.5103, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.21, acc_test: 44.50, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:52:57.213825
Epoch: 110, l_xent: 1.5021, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.35, acc_test: 48.66, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:53:08.851086
Epoch: 111, l_xent: 1.4957, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.50, acc_test: 47.04, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:53:20.416638
Epoch: 112, l_xent: 1.4942, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.61, acc_test: 48.74, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:53:32.134327
Epoch: 113, l_xent: 1.4913, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.85, acc_test: 51.14, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:53:43.727587
Epoch: 114, l_xent: 1.5005, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.52, acc_test: 45.10, acc_test_best: 51.14, lr: 0.099949, time: 2020-01-16 15:53:55.306325
Epoch: 115, l_xent: 1.4913, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.88, acc_test: 50.24, acc_test_best: 51.14, lr: 0.099949, time: 2020-01-16 15:54:07.033650
Epoch: 116, l_xent: 1.5011, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.53, acc_test: 51.51, acc_test_best: 51.14, lr: 0.099949, time: 2020-01-16 15:54:18.819648
Epoch: 117, l_xent: 1.4834, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.93, acc_test: 46.16, acc_test_best: 51.51, lr: 0.099949, time: 2020-01-16 15:54:30.552796
Epoch: 118, l_xent: 1.4887, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.90, acc_test: 49.27, acc_test_best: 51.51, lr: 0.099949, time: 2020-01-16 15:54:42.148209
Epoch: 119, l_xent: 1.4984, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.63, acc_test: 49.33, acc_test_best: 51.51, lr: 0.099949, time: 2020-01-16 15:54:53.934252
Epoch: 120, l_xent: 1.4995, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.47, acc_test: 47.26, acc_test_best: 51.51, lr: 0.099949, time: 2020-01-16 15:55:05.650347
Epoch: 121, l_xent: 1.4892, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.81, acc_test: 47.36, acc_test_best: 51.51, lr: 0.099949, time: 2020-01-16 15:55:17.320685
